primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first
john denver,1971,"""Take Me Home, Country Roads""","""john denver""",TRUE,6,RCA/Legacy,1971,RCA; Legacy,1970,TRUE,8,5,2.23606797749979,TRUE
tony orlando,1971,"""Knock Three Times""","[""tony orlando"",""dawn""]",TRUE,4,BMG Special Products,1970,BMG Special Products,1970,FALSE,10,3,1.7320508075688772,TRUE
janis joplin,1971,"""Me and Bobby McGee""","""janis joplin""",TRUE,1,Columbia/Legacy,1971-01-11,Columbia; Legacy,1970,TRUE,11,0,0,FALSE
al green,1971,"""Tired of Being Alone""","""al green""",TRUE,6,Fat Possum,1971-08-14,Fat Possum,1970,FALSE,12,5,2.23606797749979,TRUE
honey cone,1971,"""Want Ads""","""honey cone""",TRUE,2,Tooth & Nail (TNN),2000-01-01,Tooth & Nail (TNN),1970,FALSE,13,1,1,TRUE
the undisputed truth,1971,"""Smiling Faces Sometimes""","""the undisputed truth""",TRUE,1,Motown,1971-01-01,Motown,1970,TRUE,14,0,0,FALSE
cornelius brothers,1971,"""Treat Her Like a Lady""","[""cornelius brothers"",""sister rose""]",TRUE,2,Arista/LaFace Records,1994-04-26,Arista; LaFace Records,1970,FALSE,15,1,1,TRUE
the rolling stones,1971,"""Brown Sugar""","""the rolling stones""",TRUE,6,Polydor Records,1971-04-23,Polydor Records,1970,FALSE,16,5,2.23606797749979,TRUE
jean knight,1971,"""Mr. Big Stuff""","""jean knight""",TRUE,1,Stax,1971,Stax,1970,FALSE,18,0,0,FALSE
lee michaels,1971,"""Do You Know What I Mean""","""lee michaels""",TRUE,1,Manifesto Records,1971-11-20,Manifesto Records,1970,FALSE,19,0,0,FALSE
joan baez,1971,"""The Night They Drove Old Dixie Down""","""joan baez""",TRUE,1,CAPITOL CATALOG MKT (C92),1969-09-22,CAPITOL CATALOG MKT (C92),1970,FALSE,20,0,0,FALSE
marvin gaye,1971,"""What's Going On""","""marvin gaye""",TRUE,5,UNI/MOTOWN,1971-05-21,UNI; MOTOWN,1970,TRUE,21,4,2,TRUE
paul,1971,"""Uncle Albert/Admiral Halsey""","[""paul"",""linda mccartney""]",TRUE,1,Paul McCartney Catalog,1971-05-17,Paul McCartney Catalog,1970,FALSE,22,0,0,FALSE
bill withers,1971,"""Ain't No Sunshine""","""bill withers""",TRUE,3,Columbia/Legacy,1971-05-01,Columbia; Legacy,1970,TRUE,23,2,1.4142135623730951,TRUE
five man electrical band,1971,"""Signs""","""five man electrical band""",TRUE,1,Mercury Records,1981-02-12,Mercury Records,1970,FALSE,24,0,0,FALSE
the free movement,1971,"""I've Found Someone of My Own""","""the free movement""",TRUE,1,Columbia/Legacy,1971-12-15,Columbia; Legacy,1970,TRUE,26,0,0,FALSE
murray head,1971,"""Superstar""","[""murray head"",""the trinidad singers""]",TRUE,2,Polydor Records,2012-01-01,Polydor Records,1970,FALSE,27,1,1,TRUE
jerry reed,1971,"""Amos Moses""","""jerry reed""",TRUE,2,RCA Records Label,1970-12-01,RCA Records Label,1970,FALSE,28,1,1,TRUE
the grass roots,1971,"""Temptation Eyes""","""the grass roots""",TRUE,1,Geffen,1969-11-01,Geffen,1970,FALSE,29,0,0,FALSE
george harrison,1971,"""My Sweet Lord""/""Isn't It A Pity""","""george harrison""",TRUE,4,BMG Rights Management (US) LLC,1970-11-20,BMG Rights Management (US) LLC,1970,FALSE,31,3,1.7320508075688772,TRUE
ocean,1971,"""Put Your Hand in the Hand""","""ocean""",TRUE,1,Legacy Recordings,1971,Legacy Recordings,1970,FALSE,33,0,0,FALSE
daddy dewdrop,1971,"""Chick-A-Boom (Don't Ya Jes' Love It)""","""daddy dewdrop""",TRUE,1,Jive,2004,Jive,1970,FALSE,34,0,0,FALSE
gordon lightfoot,1971,"""If You Could Read My Mind""","""gordon lightfoot""",TRUE,2,143/Warner Records,1970,143; Warner Records,1970,TRUE,36,1,1,TRUE
sammi smith,1971,"""Help Me Make It Through the Night""","""sammi smith""",TRUE,1,Varese Sarabande,1996-01-01,Varese Sarabande,1970,FALSE,37,0,0,FALSE
cher,1971,"""Gypsys, Tramps & Thieves""","""cher""",TRUE,10,Geffen,1971-01-01,Geffen,1970,FALSE,39,9,3,TRUE
lynn anderson,1971,"""Rose Garden""","""lynn anderson""",TRUE,1,Columbia/Legacy,1966,Columbia; Legacy,1970,TRUE,41,0,0,FALSE
hamilton,1971,"""Don't Pull Your Love""","[""hamilton"",""joe frank"",""reynolds""]",TRUE,2,Geffen,1971-05-01,Geffen,1970,FALSE,42,1,1,TRUE
ringo starr,1971,"""It Don't Come Easy""","""ringo starr""",TRUE,5,Parlophone,1973-01-01,Parlophone,1970,FALSE,43,4,2,TRUE
nitty gritty dirt band,1971,"""Mr. Bojangles""","""nitty gritty dirt band""",TRUE,1,Capitol Nashville,2001-01-01,Capitol Nashville,1970,FALSE,44,0,0,FALSE
the fuzz,1971,"""I Love You for All Seasons""","""the fuzz""",TRUE,1,Rhino,1971-01-01,Rhino,1970,TRUE,45,0,0,FALSE
the dramatics,1971,"""Whatcha See Is Whatcha Get""","""the dramatics""",TRUE,2,Stax,1971,Stax,1970,FALSE,46,1,1,TRUE
carly simon,1971,"""That's the Way I've Always Heard It Should Be""","""carly simon""",TRUE,6,Rhino/Elektra,1971-03,Rhino; Elektra,1970,TRUE,47,5,2.23606797749979,TRUE
helen reddy,1971,"""I Don't Know How to Love Him""","""helen reddy""",TRUE,7,Capitol Records,1987-01-01,Capitol Records,1970,TRUE,50,6,2.449489742783178,TRUE
the partridge family,1971,"""Doesn't Somebody Want to Be Wanted""","""the partridge family""",TRUE,2,Arista,1974,Arista,1970,FALSE,53,1,1,TRUE
tommy james,1971,"""Draggin' the Line""","""tommy james""",TRUE,1,Rhino,1989,Rhino,1970,TRUE,54,0,0,FALSE
the bells,1971,"""Stay Awhile""","""the bells""",TRUE,1,Rover Records,2000-03-01,Rover Records,1970,FALSE,57,0,0,FALSE
the stampeders,1971,"""Sweet City Woman""","""the stampeders""",TRUE,1,UNIDISC MUSIC INC.,1971-01-01,UNIDISC MUSIC INC.,1970,FALSE,58,0,0,FALSE
lobo,1971,"""Me and You and a Dog Named Boo""","""lobo""",TRUE,2,Rhino Atlantic,1971,Rhino Atlantic,1970,TRUE,59,1,1,TRUE
paul mccartney,1971,"""Another Day""/""Oh Woman, Oh Why""","""paul mccartney""",TRUE,13,BMG Rights Management (US) LLC,1970-11-20,BMG Rights Management (US) LLC,1970,FALSE,60,12,3.4641016151377544,TRUE
