No.,Title,Artist,Year,all_artists,artist_list,primary_artist,other_artists,primary_artist_count,one_hit
89,"""Teardrops on My Guitar""",taylor swift,2007,taylor swift,,taylor swift,NA,36,0
89,"""I Remember""",keyshia cole,2008,keyshia cole,,keyshia cole,NA,4,0
89,"""One Time""",justin bieber,2009,justin bieber,,justin bieber,NA,16,0
89,"""Eenie Meenie""",sean kingston and justin bieber,2010,sean kingston and justin bieber,,sean kingston,justin bieber,4,0
89,"""She Ain't You""",chris brown,2011,chris brown,,chris brown,NA,24,0
89,"""You da One""",rihanna,2012,rihanna,,rihanna,NA,33,0
89,"""Mama's Broken Heart""",miranda lambert,2013,miranda lambert,,mir,a lambert,4,0
89,"""Believe Me""",lil wayne featuring drake,2014,lil wayne featuring drake,,lil wayne,drake,11,0
89,"""Budapest""",george ezra,2015,george ezra,,george ezra,NA,1,1
89,"""Back to Sleep""",chris brown,2016,chris brown,,chris brown,NA,24,0
89,"""Malibu""",miley cyrus,2017,miley cyrus,,miley cyrus,NA,12,0
89,"""What Lovers Do""",maroon 5 featuring sza,2018,maroon 5 featuring sza,,maroon 5,sza,25,0
89,"""One Thing Right""",marshmello and kane brown,2019,marshmello and kane brown,,marshmello,kane brown,6,0
89,"""Homesick""",kane brown,2020,kane brown,,kane brown,NA,9,0
89,"""Take My Breath""",the weeknd,2021,the weeknd,,the weeknd,NA,18,0
89,"""A Holly Jolly Christmas""",burl ives,2022,burl ives,,burl ives,NA,3,0
89,"""Bury Me in Georgia""",kane brown,2023,kane brown,,kane brown,NA,9,0
89,"""Wildflower""",billie eilish,2024,billie eilish,,billie eilish,NA,12,0
90,"""Come Saturday Morning""",the sandpipers,1970,the sandpipers,,the s,pipers,1,1
90,"""If I Were Your Woman""",gladys knight & the pips,1971,gladys knight & the pips,,gladys knight,the pips,7,0
90,"""Day by Day""",original cast of godspell,1972,original cast of godspell,,original cast of godspell,NA,1,1
90,"""Also Sprach Zarathustra (2001)""",deodato,1973,deodato,,deodato,NA,1,1
90,"""My Girl Bill""",jim stafford,1974,jim stafford,,jim stafford,NA,3,0
90,"""Long Tall Glasses (I Can Dance)""",leo sayer,1975,leo sayer,,leo sayer,NA,5,0
90,"""Young Hearts Run Free""",candi staton,1976,candi staton,,c,i staton,1,1
90,"""Walk This Way""",aerosmith,1977,aerosmith,,aerosmith,NA,12,0
90,"""It's So Easy""",linda ronstadt,1978,linda ronstadt,,linda ronstadt,NA,9,0
90,"""I Got My Mind Made Up (You Can Get It Girl)""",instant funk,1979,instant funk,,instant funk,NA,1,1
90,"""September Morn""",neil diamond,1980,neil diamond,,neil diamond,NA,9,0
90,"""You've Lost That Lovin' Feelin'""",daryl hall & john oates,1981,daryl hall & john oates,,daryl hall,john oates,16,0
90,"""Hot in the City""",billy idol,1982,billy idol,,billy idol,NA,5,0
90,"""Photograph""",def leppard,1983,def leppard,,def leppard,NA,7,0
90,"""Tonight""",kool & the gang,1984,kool & the gang,,kool,the gang,13,0
90,"""Do What You Do""",jermaine jackson,1985,jermaine jackson,,jermaine jackson,NA,3,0
90,"""Sweet Love""",anita baker,1986,anita baker,,anita baker,NA,2,0
90,"""Cross My Broken Heart""",the jets,1987,the jets,,the jets,NA,5,0
90,"""Can't Stay Away from You""",gloria estefan and miami sound machine,1988,gloria estefan and miami sound machine,,gloria estefan,miami sound machine,8,0
90,"""It's No Crime""",babyface,1989,babyface,,babyface,NA,6,0
90,"""This One's for the Children""",new kids on the block,1990,new kids on the block,,new kids on the block,NA,6,0
90,"""Disappear""",inxs,1991,inxs,,inxs,NA,6,0
90,"""Would I Lie to You?""",charles & eddie,1992,charles & eddie,,charles,eddie,1,1
90,"""Reason to Believe""",rod stewart,1993,rod stewart,,rod stewart,NA,14,0
90,"""Indian Outlaw""",tim mcgraw,1994,tim mcgraw,,tim mcgraw,NA,10,0
90,"""Like the Way I Do"" / ""If I Wanted To""",melissa etheridge,1995,melissa etheridge,,melissa etheridge,NA,5,0
90,"""That Girl""",maxi priest featuring shaggy,1996,maxi priest featuring shaggy,,maxi priest,shaggy,2,0
90,"""One More Time""",real mccoy,1997,real mccoy,,real mccoy,NA,5,0
90,"""Raise the Roof""",luke featuring no good but so good,1998,luke featuring no good but so good,,luke,no good but so good,1,1
90,"""Jamboree""",naughty by nature featuring zhané,1999,naughty by nature featuring zhané,,naughty by nature,zhané,4,0
90,"""What About Now""",lonestar,2000,lonestar,,lonestar,NA,5,0
90,"""Here's to the Night""",eve 6,2001,eve 6,,eve 6,NA,1,1
90,"""Uh Huh""",b2k,2002,b2k,,b2k,NA,2,0
90,"""Have You Forgotten?""",darryl worley,2003,darryl worley,,darryl worley,NA,1,1
90,"""American Soldier""",toby keith,2004,toby keith,,toby keith,NA,7,0
90,"""True""",ryan cabrera,2005,ryan cabrera,,ryan cabrera,NA,2,0
90,"""When I'm Gone""",eminem,2006,eminem,,eminem,NA,18,0
90,"""Shut Up and Drive""",rihanna,2007,rihanna,,rihanna,NA,33,0
90,"""Flashing Lights""",kanye west featuring dwele,2008,kanye west featuring dwele,,kanye west,dwele,13,0
90,"""I Run to You""",lady antebellum,2009,lady antebellum,,lady antebellum,NA,6,0
90,"""Right Above It""",lil wayne featuring drake,2010,lil wayne featuring drake,,lil wayne,drake,11,0
90,"""Take a Back Road""",rodney atkins,2011,rodney atkins,,rodney atkins,NA,1,1
90,"""We Run the Night""",havana brown featuring pitbull,2012,havana brown featuring pitbull,,havana brown,pitbull,1,1
90,"""It Goes Like This""",thomas rhett,2013,thomas rhett,,thomas rhett,NA,5,0
90,"""23""","mike will made-it featuring miley cyrus, wiz khalifa, and juicy j",2014,"mike will made-it featuring miley cyrus, wiz khalifa, and juicy j",,mike will made-it,"miley cyrus, wiz khalifa, , juicy j",1,1
90,"""Chandelier""",sia,2015,sia,,sia,NA,4,0
90,"""No Limit""",usher featuring young thug,2016,usher featuring young thug,,usher,young thug,25,0
90,"""Down""",marian hill,2017,marian hill,,marian hill,NA,1,1
90,"""X""",nicky jam and j balvin,2018,nicky jam and j balvin,,nicky jam,j balvin,2,0
90,"""Cash Shit""",megan thee stallion featuring dababy,2019,megan thee stallion featuring dababy,,megan thee stallion,dababy,7,0
90,"""Rags2Riches""",rod wave featuring atr son son,2020,rod wave featuring atr son son,,rod wave,atr son son,3,0
90,"""We're Good""",dua lipa,2021,dua lipa,,dua lipa,NA,10,0
90,"""Kiss Me More""",doja cat featuring sza,2022,doja cat featuring sza,,doja cat,sza,15,0
90,"""PRC""",peso pluma and natanael cano,2023,peso pluma and natanael cano,,peso pluma,natanael cano,2,0
90,"""World on Fire""",nate smith,2024,nate smith,,nate smith,NA,2,0
91,"""Psychedelic Shack""",the temptations,1970,the temptations,,the temptations,NA,5,0
91,"""I Am...I Said""",neil diamond,1971,neil diamond,,neil diamond,NA,9,0
91,"""Roundabout""",yes,1972,yes,,yes,NA,2,0
91,"""Stir It Up""",johnny nash,1973,johnny nash,,johnny nash,NA,2,0
