Year,No.,primary_artist,Title,is_major_label,decade,sqrt_reappearance,duration_sec,lastfm_genre,lastfm_top_tag,new_lastfm_genre
1971,44,nitty gritty dirt band,"""Mr. Bojangles""",FALSE,1970,0,215.4,Country,Country,Country
1971,45,the fuzz,"""I Love You for All Seasons""",TRUE,1970,0,188.373,Unknown,Soul,NA
1971,46,the dramatics,"""Whatcha See Is Whatcha Get""",FALSE,1970,1,214.973,Rnb,Soul,NA
1971,47,carly simon,"""That's the Way I've Always Heard It Should Be""",TRUE,1970,2.23606797749979,258.133,Pop,70s,Pop
1971,50,helen reddy,"""I Don't Know How to Love Him""",TRUE,1970,2.449489742783178,198.866,Pop,70s,Pop
1971,53,the partridge family,"""Doesn't Somebody Want to Be Wanted""",FALSE,1970,1,167.733,Pop,70s,Pop
1971,54,tommy james,"""Draggin' the Line""",TRUE,1970,0,164.866,Pop,Classic Rock,Pop
1971,57,the bells,"""Stay Awhile""",FALSE,1970,0,204.333,Folk,Folk,Folk
1971,58,the stampeders,"""Sweet City Woman""",FALSE,1970,0,207.426,Pop,70s,Pop
1971,59,lobo,"""Me and You and a Dog Named Boo""",TRUE,1970,1,177.933,Pop,70s,Pop
1971,60,paul mccartney,"""Another Day""/""Oh Woman, Oh Why""",FALSE,1970,3.4641016151377544,291.893,Unknown,NA,NA
1971,63,brewer,"""One Toke Over the Line""",FALSE,1970,0,199.293,Country,Classic Rock,Country
1971,64,8th day,"""She's Not Just Another Woman""",FALSE,1970,0,186.386,Unknown,60s,NA
1971,67,delaney,"""Never Ending Song of Love""",TRUE,1970,0,200.466,Rock,Rock,Rock
1971,68,freddie hart,"""Easy Loving""",FALSE,1970,0,158.324,Country,Country,Country
1971,71,mac,"""Chirpy Chirpy Cheep Cheep""",FALSE,1970,0,164.011,Pop,70s,Pop
1971,72,andy williams,"""(Where Do I Begin?) Love Story""",TRUE,1970,0,189.066,Unknown,60s,NA
1971,73,cat stevens,"""Wild World""",FALSE,1970,1.4142135623730951,200.56,Folk,Folk,Folk
1971,75,the beginning of the end,"""Funky Nassau""",FALSE,1970,0,186.301,Pop,Funk,Pop
1971,76,olivia newton-john,"""If Not for You""",FALSE,1970,3.4641016151377544,171.24,Country,Country,Country
1971,77,king floyd,"""Groove Me""",FALSE,1970,0,183.266,Rnb,Soul,NA
1971,78,bobby goldsboro,"""Watching Scotty Grow""",TRUE,1970,0,157.506,Unknown,60s,NA
1971,79,matthews southern comfort,"""Woodstock""",FALSE,1970,0,269.333,Rock,Folk Rock,NA
1971,80,judy collins,"""Amazing Grace""",FALSE,1970,0,248.693,Folk,Folk,Folk
1971,81,dave edmunds,"""I Hear You Knocking""",FALSE,1970,0,167.026,Rock,Classic Rock,Rock
1971,83,the fortunes,"""Here Comes That Rainy Day Feeling Again""",FALSE,1970,0,172.16,Pop,60s,Pop
1971,84,the who,"""Won't Get Fooled Again""",FALSE,1970,1,511.4,Rock,Classic Rock,Rock
1971,85,denise lasalle,"""Trapped By a Thing Called Love""",FALSE,1970,0,158.733,Blues,Soul,Blues
1971,87,the buoys,"""Timothy""",FALSE,1970,0,165.575,Pop,70s,Pop
1971,89,isaac hayes,"""Theme from Shaft""",FALSE,1970,1,279.2,Rnb,Funk,NA
