primary_artist,Year,Title,artist_list,is_first_appearance,total_appearances,record_label,album_year,record_label_list,decade,is_major_label,No.,reappearance_count,sqrt_reappearance,reappears_after_first,clean_title,lastfm_genre,lastfm_top_tag,duration_sec,search_artist,new_lastfm_genre
100 proof (aged in soul),1970,"""Somebody's Been Sleeping""","""100 proof (aged in soul)""",TRUE,1,Edsel,1971-01-01,Edsel,1970,FALSE,84,0,0,FALSE,Somebody's Been Sleeping,Rnb,Soul,252.08,100 proof (aged in soul),Rnb
the ides of march,1970,"""Vehicle""","""the ides of march""",TRUE,1,Rhino/Warner Records,1970,Rhino; Warner Records,1970,TRUE,85,0,0,FALSE,Vehicle,Rock,70s,178.066,the ides of march,Rock
the pipkins,1970,"""Gimme Dat Ding""","""the pipkins""",TRUE,1,Chrysalis Copyrights,1970-01-01,Chrysalis Copyrights,1970,FALSE,86,0,0,FALSE,Gimme Dat Ding,Pop,70s,134.106,the pipkins,Pop
robin mcnamara,1970,"""Lay a Little Lovin' on Me""","""robin mcnamara""",TRUE,1,Fuel Records,1960-03-09,Fuel Records,1970,FALSE,87,0,0,FALSE,Lay a Little Lovin' on Me,Rock,Oldies,196.84,robin mcnamara,Rock
the supremes,1970,"""Up the Ladder to the Roof""","""the supremes""",TRUE,1,Motown,1970-04-26,Motown,1970,TRUE,88,0,0,FALSE,Up the Ladder to the Roof,Pop,Motown,191.666,the supremes,Pop
the sandpipers,1970,"""Come Saturday Morning""","""the sandpipers""",TRUE,1,A&M,1970-08-31,A&M,1970,FALSE,90,0,0,FALSE,Come Saturday Morning,Pop,70s,185.8,the sandpipers,Pop
tom jones,1970,"""Without Love (There Is Nothing)""","""tom jones""",TRUE,2,Mercury Records,1994-12-06,Mercury Records,1970,FALSE,92,1,1,TRUE,Without Love (There Is Nothing),Pop,Pop,212.838,tom jones,Pop
pacific gas,1970,"""Are You Ready?""","[""pacific gas"",""electric""]",TRUE,1,Columbia/Legacy,1970,Columbia; Legacy,1970,TRUE,93,0,0,FALSE,Are You Ready?,Rock,Classic Rock,322.266,pacific gas & electric,Rock
crosby,1970,"""Woodstock""","[""crosby"",""stills"",""nash"",""young""]",TRUE,3,Rhino Atlantic,1969-05-29,Rhino Atlantic,1970,TRUE,94,2,1.4142135623730951,TRUE,Woodstock,Unknown,NA,233.773,crosby & stills & nash & young,NA
dionne warwick,1970,"""I'll Never Fall in Love Again""","""dionne warwick""",TRUE,5,Rhino,1970,Rhino,1970,TRUE,95,4,2,TRUE,I'll Never Fall in Love Again,Pop,Easy Listening,174.84,dionne warwick,NA
the new seekers,1970,"""Look What They've Done to My Song Ma""","""the new seekers""",TRUE,2,Rhino/Elektra,1971,Rhino; Elektra,1970,TRUE,96,1,1,TRUE,Look What They've Done to My Song Ma,Pop,Pop,202.906,the new seekers,Pop
joe south,1970,"""Walk A Mile In My Shoes""","""joe south""",TRUE,1,CAPITOL CATALOG MKT (C92),1968-01-01,CAPITOL CATALOG MKT (C92),1970,FALSE,97,0,0,FALSE,Walk A Mile In My Shoes,Pop,70s,248.093,joe south,Pop
b.b. king,1970,"""The Thrill Is Gone""","""b.b. king""",TRUE,1,Geffen,1969-12-05,Geffen,1970,FALSE,98,0,0,FALSE,The Thrill Is Gone,Blues,Blues,324.733,b.b. king,Blues
glen campbell,1970,"""It's Only Make Believe""","""glen campbell""",TRUE,4,Capitol Nashville,1970-01-01,Capitol Nashville,1970,FALSE,99,3,1.7320508075688772,TRUE,It's Only Make Believe,Country,Country,147.48,glen campbell,Country
aretha franklin,1970,"""Call Me""","""aretha franklin""",TRUE,9,Rhino Atlantic,1968-06-14,Rhino Atlantic,1970,TRUE,100,8,2.8284271247461903,TRUE,Call Me,Rnb,Soul,237.066,aretha franklin,Rnb
