primary_artist,Year,Title,record_label,album_year,decade,is_major_label,reappears_after_first
roberta flack,1972,"""The First Time Ever I Saw Your Face""",Atlantic Records,1969,1970,TRUE,TRUE
gilbert o'sullivan,1972,"""Alone Again (Naturally)""",Salvo,1972-01-01,1970,FALSE,TRUE
don mclean,1972,"""American Pie""",Capitol Records,1971,1970,TRUE,TRUE
harry nilsson,1972,"""Without You""",RCA Records Label,1971,1970,FALSE,FALSE
sammy davis jr.,1972,"""The Candy Man""",Geffen,1995,1970,FALSE,FALSE
joe tex,1972,"""I Gotcha""",Sony ATV,1969-01-01,1970,FALSE,TRUE
bill withers,1972,"""Lean on Me""",Columbia/Legacy,1972-05-01,1970,TRUE,TRUE
mac davis,1972,"""Baby, Don't Get Hooked on Me""",Columbia/Legacy,1972-09-09,1970,TRUE,TRUE
melanie,1972,"""Brand New Key""",Buddah/Legacy,1971-07-01,1970,TRUE,TRUE
wayne newton,1972,"""Daddy Don't You Walk So Fast""",Geffen,1971-04-01,1970,FALSE,FALSE
al green,1972,"""Let's Stay Together""",Fat Possum,1972,1970,FALSE,TRUE
looking glass,1972,"""Brandy (You're a Fine Girl)""",Epic/Legacy,1972,1970,TRUE,FALSE
the chi-lites,1972,"""Oh Girl""",Red Bus Music,1975-09-18,1970,FALSE,FALSE
gallery,1972,"""Nice to Be with You""",Sussex Records,1972-09-06,1970,FALSE,FALSE
chuck berry,1972,"""My Ding-a-Ling""",Mercury Records,1967-01-01,1970,FALSE,FALSE
luther ingram,1972,"""(If Loving You Is Wrong) I Don't Want to Be Right""",Airline Records,1965-03-02,1970,FALSE,FALSE
neil young,1972,"""Heart of Gold""",Reprise,1972-02-01,1970,FALSE,FALSE
the stylistics,1972,"""Betcha by Golly, Wow""",AVCO Records Corp.,1973-01-01,1970,FALSE,TRUE
the staple singers,1972,"""I'll Take You There""",Stax,1972,1970,FALSE,TRUE
michael jackson,1972,"""Ben""",Motown,1972-08-04,1970,FALSE,TRUE
robert john,1972,"""The Lion Sleeps Tonight""",Buddah/Legacy,1970-01-01,1970,TRUE,TRUE
billy preston,1972,"""Outa-Space""",A&M,1971-01-01,1970,FALSE,TRUE
war,1972,"""Slippin' into Darkness""",Avenue Records,1972-01-01,1970,FALSE,TRUE
the hollies,1972,"""Long Cool Woman in a Black Dress""",BMG Rights Management (US) LLC,1970-11-01,1970,FALSE,TRUE
mouth,1972,"""How Do You Do""",Geffen*,1996-01-01,1970,FALSE,FALSE
neil diamond,1972,"""Song Sung Blue""",Geffen,1972-07-15,1970,FALSE,TRUE
america,1972,"""A Horse with No Name""",Warner Records,1972,1970,TRUE,TRUE
hot butter,1972,"""Popcorn""",J Records/Legacy,2001-11-07,1970,TRUE,FALSE
the main ingredient,1972,"""Everybody Plays the Fool""",RCA Records Label,1996-04-30,1970,FALSE,TRUE
climax,1972,"""Precious and Few""",Rocky Road Records,1972-06-22,1970,FALSE,FALSE
the 5th dimension,1972,"""(Last Night) I Didn't Get to Sleep at All""",Arista/Legacy,1972-02-19,1970,TRUE,TRUE
the moody blues,1972,"""Nights in White Satin""",UMC (Universal Music Catalogue),1967-11-10,1970,FALSE,FALSE
raspberries,1972,"""Go All the Way""",Capitol Records,1972,1970,TRUE,FALSE
cornelius brothers,1972,"""Too Late to Turn Back Now""",Capitol Records,1996-01-01,1970,TRUE,TRUE
the o'jays,1972,"""Back Stabbers""",Legacy/Epic Associated,1972-01-01,1970,TRUE,TRUE
the osmonds,1972,"""Down by the Lazy River""",Universal Records,1971-06-21,1970,FALSE,TRUE
jonathan edwards,1972,"""Sunshine""",Rhino/Elektra,1971,1970,TRUE,FALSE
mel,1972,"""Starting All Over Again""",Stax,1972-01-01,1970,FALSE,FALSE
badfinger,1972,"""Day After Day""",EMI Catalogue,1970-01-09,1970,FALSE,TRUE
elton john,1972,"""Rocket Man""",UMC (Universal Music Catalogue),1970-04-10,1970,FALSE,TRUE
