primary_artist,Year,No.,Title,genre,duration_sec,is_major_label,decade,sqrt_reappearance
dan hill,1978,33,"""Sometimes When We Touch""",Pop Rock,252.693,FALSE,1970,1
walter egan,1978,40,"""Magnet and Steel""",Pop	Rock,204.76,FALSE,1970,0
the knack,1979,1,"""My Sharona""",Pop	Rock,295.4,TRUE,1970,0
peaches,1979,5,"""Reunited""",Electronic,345.24,FALSE,1970,1.4142135623731
village people,1979,8,"""Y.M.C.A.""",Reggae,286.666,FALSE,1970,1
anita ward,1979,9,"""Ring My Bell""",NA,491.933,FALSE,1970,0
david naughton,1979,14,"""Makin' It""",NA,189.582,TRUE,1970,0
blondie,1979,18,"""Heart of Glass""",Rock,229.423,FALSE,1970,1.73205080756888
amii stewart,1979,22,"""Knock on Wood""",Electronic,248.72,FALSE,1970,0
suzi quatro,1979,23,"""Stumblin' In""",NA,239.611,FALSE,1970,0
randy vanwarmer,1979,29,"""Just When I Needed You Most""",Country,241.746,TRUE,1970,0
cheap trick,1979,34,"""I Want You to Want Me""",Pop Rock,191.226,TRUE,1970,1.4142135623731
leif garrett,1979,37,"""I Was Made for Dancin'""",NA,196.44,FALSE,1970,0
lipps inc.,1980,8,"""Funkytown""",Electronic,239.226,FALSE,1980,0
rupert holmes,1980,11,"""Escape (The Piña Colada Song)""",Pop	Rock,276.493,FALSE,1980,1
gary numan,1980,12,"""Cars""",Rock,238.906,FALSE,1980,0
smokey robinson,1980,13,"""Cruisin""",Rnb,352.92,TRUE,1980,1.4142135623731
air supply,1980,15,"""Lost in Love""",Pop Rock,233.866,FALSE,1980,2.64575131106459
christopher cross,1980,17,"""Ride Like the Wind""",Pop Rock,275.506,FALSE,1980,2.23606797749979
teri desario,1980,24,"""Yes, I'm Ready""",NA,198.6,FALSE,1980,0
robbie dupree,1980,26,"""Steal Away""",Pop	Rock,213.973,FALSE,1980,0
dan fogelberg,1980,33,"""Longer""",Rock,195.066,FALSE,1980,1.4142135623731
the s.o.s. band,1980,37,"""Take Your Time (Do It Right)""",R&B,460.8,FALSE,1980,0
kim carnes,1980,39,"""More Love""",Pop	Rock,215.986,FALSE,1980,1
m,1980,40,"""Pop Muzik""",Electronic,200.682,FALSE,1980,0
reo speedwagon,1981,10,"""Keep on Loving You""",Pop Rock,200.293,FALSE,1980,1.73205080756888
joey scarbury,1981,11,"""Theme from The Greatest American Hero (Believe It or Not)""",Pop Rock,195.293,TRUE,1980,0
sheena easton,1981,12,"""Morning Train (Nine to Five)""",Pop	Rock,200.826,FALSE,1980,2.44948974278318
juice newton,1981,14,"""Queen of Hearts""",Country,205.826,FALSE,1980,1.73205080756888
grover washington,1981,18,"""Just the Two of Us""",NA,438.493,TRUE,1980,0
stars on 45,1981,24,"""Stars on 45 Medley""",Rap,233.213,FALSE,1980,0
the oak ridge boys,1981,31,"""Elvira""",Country,225.626,FALSE,1980,0
the manhattan transfer,1981,36,"""The Boy from New York City""",Jazz,222.16,FALSE,1980,0
survivor,1982,2,"""Eye of the Tiger""",Pop Rock,243.773,FALSE,1980,2
joan jett,1982,3,"""I Love Rock 'n Roll""",NA,175.173,FALSE,1980,1
the j. geils band,1982,5,"""Centerfold""",Pop Rock,216.533,FALSE,1980,1
the human league,1982,6,"""Don't You Want Me""",Pop	Rock,236.92,FALSE,1980,1.4142135623731
soft cell,1982,11,"""Tainted Love""",Electronic,153.8,FALSE,1980,0
vangelis,1982,12,"""Chariots of Fire""",New Age,202.805,FALSE,1980,0
quarterflash,1982,13,"""Harden My Heart""",Pop Rock,232.626,FALSE,1980,1
tommy tutone,1982,16,"""867-5309/Jenny""",Rock,226.2,TRUE,1980,0
bertie higgins,1982,17,"""Key Largo""",Rock,198.946,FALSE,1980,0
willie nelson,1982,22,"""Always on My Mind""",Country,212.666,TRUE,1980,0
the cars,1982,23,"""Shake It Up""",Pop Rock,211.96,TRUE,1980,2
dazz band,1982,24,"""Let It Whip""",R&B,281.28,TRUE,1980,0
the go-go's,1982,25,"""We Got the Beat""",Pop Rock,153.133,FALSE,1980,1.73205080756888
ray parker jr.,1982,26,"""The Other Woman""",Electronic,247.96,FALSE,1980,1.4142135623731
the motels,1982,29,"""Only the Lonely""",Pop	Rock,196.2,FALSE,1980,0
men at work,1982,30,"""Who Can It Be Now?""",Pop Rock,201.293,TRUE,1980,1.73205080756888
charlene,1982,38,"""I've Never Been to Me""",Country,234.773,TRUE,1980,0
asia,1982,40,"""Heat of the Moment""",Pop Rock,227.893,FALSE,1980,1
patti austin,1983,8,"""Baby, Come to Me""",R&B,215.386,FALSE,1980,0
michael sembello,1983,9,"""Maniac""",Electronic,244.706,FALSE,1980,0
eurythmics,1983,10,"""Sweet Dreams (Are Made of This)""",Electronic,216.933,FALSE,1980,1.4142135623731
culture club,1983,11,"""Do You Really Want to Hurt Me""",Pop	Rock,262.173,FALSE,1980,2.23606797749979
dexys midnight runners,1983,13,"""Come On Eileen""",Pop	Rock,287.306,FALSE,1980,0
sérgio mendes,1983,16,"""Never Gonna Let You Go""",Pop	Rock,255.6,FALSE,1980,0
duran duran,1983,17,"""Hungry Like the Wolf""",Pop	Rock,220.626,FALSE,1980,3.16227766016838
frida,1983,20,"""I Know There's Something Going On""",Pop Rock,326.746,FALSE,1980,0
eddy grant,1983,22,"""Electric Avenue""",Reggae	Rock,227.933,FALSE,1980,0
thomas dolby,1983,23,"""She Blinded Me with Science""",Electronic,221.266,FALSE,1980,0
lionel richie,1983,29,"""You Are""",R&B,300.88,TRUE,1980,3.3166247903554
after the fire,1983,30,"""Der Kommissar""",Rock,248,TRUE,1980,0
taco,1983,31,"""Puttin' on the Ritz""",Pop	Rock,281.16,FALSE,1980,0
men without hats,1983,35,"""The Safety Dance""",Pop	Rock,165.506,FALSE,1980,0
toni basil,1983,36,"""Mickey""",Rock,252.885,FALSE,1980,0
phil collins,1983,37,"""You Can't Hurry Love""",Pop	Rock,175.746,TRUE,1980,3.60555127546399
tina turner,1984,2,"""What's Love Got to Do with It""",Pop Rock,230.24,FALSE,1980,2.23606797749979
john waite,1984,11,"""Missing You""",Pop	Rock,269.76,TRUE,1980,0
cyndi lauper,1984,15,"""Girls Just Want to Have Fun""",Pop Rock,238.266,FALSE,1980,2.23606797749979
the romantics,1984,19,"""Talking in Your Sleep""",Rock,236.625,FALSE,1980,0
thompson twins,1984,23,"""Hold Me Now""",Pop	Rock,286.226,FALSE,1980,1.4142135623731
rockwell,1984,26,"""Somebody's Watching Me""",Pop	Rock,293.933,TRUE,1980,0
matthew wilder,1984,27,"""Break My Stride""",Reggae,184.48,FALSE,1980,0
nena,1984,28,"""99 Luftballons/99 Red Balloons""",Pop Rock,230.666,FALSE,1980,0
dan hartman,1984,29,"""I Can Dream About You""",Pop Rock,252.6,FALSE,1980,0
sheila e.,1984,30,"""The Glamorous Life""",R&B,543.56,TRUE,1980,1
steve perry,1984,31,"""Oh Sherrie""",Rock,229.346,TRUE,1980,0
madonna,1984,35,"""Borderline""",Pop	Rock,238.36,FALSE,1980,5.91607978309962
corey hart,1984,36,"""Sunglasses at Night""",Pop	Rock,320,FALSE,1980,1
night ranger,1984,40,"""Sister Christian""",Rock,302.933,FALSE,1980,1.4142135623731
wham!,1985,1,"""Careless Whisper""",Vocal,299.8,FALSE,1980,2.44948974278318
chaka khan,1985,5,"""I Feel for You""",R&B,343.4,TRUE,1980,0
tears for fears,1985,7,"""Everybody Wants to Rule the World""",Pop Rock,251.488,FALSE,1980,2
a-ha,1985,10,"""Take On Me""",Pop,225.28,TRUE,1980,0
paul young,1985,11,"""Everytime You Go Away""",Jazz,321.573,FALSE,1980,1
philip bailey,1985,12,"""Easy Lover""",Pop Rock,305.866,TRUE,1980,0
starship,1985,14,"""We Built This City""",Rock,296.08,TRUE,1980,1.4142135623731
simple minds,1985,16,"""Don't You (Forget About Me)""",Pop Rock,263.04,FALSE,1980,1
john parr,1985,18,"""St. Elmo's Fire (Man in Motion)""",Pop Rock,251.8,TRUE,1980,0
glenn frey,1985,19,"""The Heat Is On""",Pop Rock,227.8,FALSE,1980,1
usa for africa,1985,20,"""We Are the World""",NA,427.333,FALSE,1980,0
whitney houston,1985,23,"""Saving All My Love for You""",R&B,237.136,FALSE,1980,4.58257569495584
new edition,1985,26,"""Cool It Now""",Reggae,347.666,FALSE,1980,1.73205080756888
jan hammer,1985,27,"""Miami Vice Theme""",Rock,147.6,FALSE,1980,0
